label,population sample,number of samples
ASW,African ancestry in Southwest USA,90
CEU,Utah residents with Northern and Western European ancestry from the CEPH collection,180
CHB,"Han Chinese in Beijing, China",90
CHD,"Chinese in Metropolitan Denver, Colorado",100
GIH,"Gujarati Indians in Houston, Texas",100
JPT,"Japanese in Tokyo, Japan",91
LWK,"Luhya in Webuye, Kenya",100
MEX,"Mexican ancestry in Los Angeles, California",90
MKK,"Maasai in Kinyawa, Kenya",180
TSI,Toscans in Italy,100
YRI,"Yoruba in Ibadan, Nigeria",180
